;ano;retention;regiao_saude
8;2022-01;0.5249845392702536;29008
9;2023-01;0.5226470830756546;29008
10;2024-01;0.5626961506961508;29008
0;2014-01;0.6500822706705061;29028
1;2015-01;0.6464630217024199;29028
2;2016-01;0.6395441122185308;29028
3;2017-01;0.6275906238464378;29028
4;2018-01;0.6194542503147155;29028
5;2019-01;0.5773713416533802;29028
6;2020-01;0.6637456372859242;29028
7;2021-01;0.6988217984240334;29028
8;2022-01;0.720286980824598;29028
9;2023-01;0.750574718000292;29028
10;2024-01;0.7673057459981345;29028
0;2014-01;0.39685700463058954;29015
1;2015-01;0.38087336421503276;29015
2;2016-01;0.4008519793459552;29015
3;2017-01;0.44204683835759867;29015
4;2018-01;0.39240761677930464;29015
5;2019-01;0.3897526028713702;29015
6;2020-01;0.5104566364582158;29015
7;2021-01;0.5870372012574847;29015
8;2022-01;0.5987901502350794;29015
9;2023-01;0.663060570381999;29015
10;2024-01;0.6528720547470547;29015
0;2014-01;0.5825642289056924;29002
1;2015-01;0.5284102948319453;29002
2;2016-01;0.528510501611773;29002
3;2017-01;0.5014510868525499;29002
4;2018-01;0.5190696436961012;29002
5;2019-01;0.4908655362786842;29002
6;2020-01;0.5447736772545324;29002
7;2021-01;0.5702950749838891;29002
8;2022-01;0.5590593699824146;29002
9;2023-01;0.5948951219512195;29002
10;2024-01;0.5907313533278874;29002
0;2014-01;0.5575637181409295;29021
1;2015-01;0.606989966555184;29021
2;2016-01;0.6430602006688964;29021
3;2017-01;0.6027382943143813;29021
4;2018-01;0.5591346153846154;29021
5;2019-01;0.4120090016366612;29021
6;2020-01;0.46769140372245277;29021
7;2021-01;0.46833648033441505;29021
8;2022-01;0.5133974111998336;29021
9;2023-01;0.5577244082408959;29021
10;2024-01;0.537185399486501;29021
0;2014-01;0.41350427350427355;29013
1;2015-01;0.33426978818283165;29013
2;2016-01;0.39071336953524893;29013
3;2017-01;0.38673331655098836;29013
4;2018-01;0.4535475447396906;29013
5;2019-01;0.45544798655598095;29013
