;cod_regsaud;mape
0;21005;0.08660936747984575
0;21006;0.10510120669028024
0;21011;0.18000747137298506
0;21012;0.08615839311499376
0;21008;0.09920200981348695
0;21004;0.2275694849298915
0;21010;0.06922602053982588
0;21017;0.0833172287305233
0;21009;0.08374990299744695
0;21015;0.15253929643686695
0;21016;0.12500048092122704
0;21018;0.17572031548855552
0;21002;0.07138365685780816
0;31062;0.2916736866301339
0;31008;0.12429013734334884
0;31041;0.387362905644935
0;31001;0.1259391688713916
0;31092;0.1528171794652095
0;31013;0.08503894819585343
0;31006;0.21439882871236488
0;31064;0.2747030376891212
0;31075;0.07999742230981743
0;31070;0.20741629773595785
0;31087;0.2120208587286697
0;31030;0.22846693510148772
0;31021;0.13690576566910245
0;31016;0.06491847710205283
0;31017;0.09827541091875129
0;31034;0.12525963646387034
0;31048;0.11267975503857268
0;31003;0.2142018362485741
0;31072;0.0751925227650582
0;31027;0.15141490804456217
0;31042;0.14126712966840663
0;31088;0.1555424001866342
0;31086;0.12158519203659325
0;31004;0.16915680623725962
0;31044;0.11395757388195701
0;31007;0.0944879715362464
0;31078;0.09391757662815574
0;31079;0.12005655312052017
0;31018;0.09619284313814191
0;31019;0.11862642009497412
0;31035;0.19808238107276535
0;31026;0.15150660898408702
0;31012;0.13109454413193267
0;31052;0.08796620753111468
0;31097;0.07281333729087498
0;31071;0.15535991952053965
0;31036;0.09190701049423047
0;31002;0.2058660675610475
0;31049;0.0688959666235071
0;31032;0.08721231917076884
0;31024;0.06918032016894071
0;31037;0.1521601629831686
0;31022;0.12749487272009913
0;31053;0.15040647691945686
0;31031;0.1010114882455467
0;31073;0.08393019785122316
0;31023;0.289901769564243
0;31057;0.08880088241300707
0;31025;0.11929492435766131
0;31090;0.08993479262112913
0;31015;0.15262970150356803
0;31099;0.16332863466254202
0;31059;0.13358552699190768
0;31038;0.26916390108382826
0;31047;0.27632722705139107
0;31082;0.1606695920805273
0;31074;0.09694595134954821
0;31009;0.1842284437336619
0;31084;0.17185359196559996
0;31045;0.22306265807486664
0;31058;0.16276826140989167
0;31055;0.10283030915447286
0;31060;0.11295652141598511
0;31040;0.12482931612175334
0;31094;0.08570613352973415
0;31011;0.1431823719068496
0;31050;0.16205860969734973
0;31085;0.09450968865617373
0;31061;0.11852177008034463
0;31093;0.4013757953141115
0;31010;0.21047753032366143
0;51013;0.07931448398511748
0;51011;0.16375660928660768
0;51006;0.21180128949512458
0;51010;0.35052551684450883
0;51002;0.11421725787606779
0;51015;0.10557999570603999
0;51008;0.15746488683774057
0;51001;0.10630811404459
0;51005;0.2121856612358988
0;51014;0.09635117931656527
0;51016;0.30019317337151186
0;51007;0.11739275589149685
0;51003;0.3165340888648743
0;25009;0.12216785621850809
0;25002;0.06821752507725376
0;25001;0.11048489145578844
0;25016;0.09753647046695184
0;25008;0.17632185393774158
0;25007;0.10780738054232673
0;25005;0.08846166169455603
0;25012;0.08629593374863444
0;25006;0.10390011075712548
0;25004;0.2560049954847686
0;25003;0.06880465529745908
0;25015;0.15296234474990472
0;25014;0.1476694175091576
0;26001;0.20128470229746226
0;26003;0.0614623212991572
0;26007;0.08665176983326675
0;26002;0.10195235450834074
0;26010;0.06674907032878409
0;26004;0.14556870217468723
0;26006;0.034923976287086704
0;26008;0.07323782384906853
0;26005;0.06041492730386504
0;26009;0.11846226508866813
0;26012;0.16922072161346416
0;26011;0.1321693720653698
0;22003;0.04550301400968969
0;22004;0.07993240508864667
0;22005;0.17398147293289862
0;22011;0.08193099234066095
0;22008;0.12028355130679798
0;22002;0.1483840400952018
0;22009;0.11702983900989608
0;33001;0.11073128378340594
0;33002;0.1388998558452535
0;33004;0.08009609393161964
0;33005;0.10109035253298916
0;33007;0.12454574037818489
0;33009;0.1059886377872011
0;33008;0.1342843115525479
0;33003;0.076881111053568
0;33006;0.08668274703443016
0;24004;0.05399429738348004
0;24003;0.049035255711963356
0;24001;0.04652753285002633
0;24002;0.10462259453905935
0;24007;0.11695693927741789
0;24006;0.08613408500769265
0;24008;0.10256617979366887
0;24005;0.08089344484008874
0;11001;0.13243506241985706
0;11002;0.1611692151250817
0;11006;0.1713459661567115
0;11003;0.1028967099565573
0;11005;0.2892691841092128
0;11004;0.14776452416346847
0;14001;0.11718554477267326
0;14002;0.21269118390126313
